id,project_name,category,period,role,url,overview,design_points
1,愛のタクシーチケット サービスサイトリニューアル,feature,2024年12月〜2025年2月,情報設計、UIデザイン、コーディング指示,https://ai-ticke.jp/,"全国のタクシー会社の92%以上をカバーする法人向けチケットサービス「愛のタクシーチケット」のコーポレートサイトリニューアル。先輩が受注した案件を、トンマナを引き継ぐ形で担当。ターゲットは中堅〜大企業の経理担当者で、サービスの信頼性と全国対応の利便性を訴求しつつ、お問い合わせ・資料請求への導線強化、インボイス制度対応の明示を目的とした。","経理担当者という実務層に向けて、電子管理やインボイス対応の強みが伝わるよう、シンプルかつ信頼感のあるUIを設計した。また、チケットサービスの仕組みが直感的に伝わるよう、サイト内の図解やイラストも制作した。

メインビジュアルは特にこだわった部分で、先方から「なんか違う」という感覚的なフィードバックを受けながら微調整を重ね、結果として4回の修正、スケジュールの後ろ倒しにつながった。当時はディレクター経由でのやり取りの中で数をこなして着地させたが、今振り返ると、こちらから参考サイトを提示しながら「こういうイメージですか？」と具体案を先に出して進める方が、早く合意形成できたと感じている。"
2,横浜ウィークリー サービスサイト制作,feature,2025年1月〜5月,情報設計、UIデザイン、コーディング指示,https://www.yokohama-weekly.jp/business-service,"横浜エリアで展開する家具付き賃貸「横浜ウィークリーマンション」のブランディングLP制作。前職からのお得意様案件。新卒研修などで1か月程度の滞在が必要な企業をターゲットに、「ここに決めておけば楽」という利便性の高さを訴求した。ホテルのような滞在型賃貸という特性を活かし、信頼感を持ってもらうためのメッセージページも構成に含めた。","支給されたロゴや画像素材から、サイト全体のトーン＆マナーを判断して制作した。ホテルライクな滞在型物件としての上質さを保ちつつ、押しつけがましくない品のあるデザインになるよう意識した。"
3,柴田設備 ロゴ制作〜コーポレートサイト制作,feature,2025年2月〜4月,ヒアリング設計、デザイン、ビジュアル作成、ガイドライン制作,,"会社としてロゴ制作の受注実績が少なく、クオリティと工数のバランスに課題があったため、まず制作フローそのものを整えることから着手した案件。柴田設備のロゴ制作からコーポレートサイト制作までを担当した。","ロゴ制作に特化したヒアリングシートが社内になかったため、スプレッドシートでヒアリング項目を作成し、各ディレクターが初回MTGで使えるようにした。ヒアリング内容をもとに参考事例を集め、方向性がずれていないかを都度確認してからラフ制作に進む、という順序を徹底した。ラフは3案ほど出したうえで方向性を絞り込み、各段階で逐一確認を取ることで、後戻りが発生した場合の追加費用交渉にもつなげられる体制にした。

ロゴで固めたトーン＆マナーをもとに、コーポレートサイトでは配色・余白・装飾のバランスまで一貫性を持たせ、ロゴ使用ルールをまとめたガイドライン（6ページ程度）も制作し、社内外への説明資料として活用できる形にした。"
4,三田工業所 高校生向け採用パンフレット,feature,2025年1月〜4月,デザイン、ビジュアル作成,,"高卒採用向け採用パンフレットのリニューアル。配布場所（会社説明会、見学会、高校校内など）を意識し、「保護者の信頼を得られる構成」と「高校生の興味を引く楽しい内容」という2つの目的を両立させることを目指した。","読み手が保護者から高校生へ切り替わることを踏まえ、レイアウトを前半・後半で意図的に変えた。前半の保護者向けページは情報量を多めにし、テキスト中心の構成で会社の信頼性が伝わるようにした。後半の高校生向けページは写真・ビジュアルを中心にし、社員の人となりが直感的に伝わるようにした。紙媒体ならではの訴求力を活かし、写真を通じて「働く人の雰囲気」が伝わることを重視した。"
5,日化産業 コーポレートサイトリニューアル,feature,2025年1月〜3月,情報設計、UIデザイン、コーディング指示,https://e-nikka.jp/,"食器製造と物流を手がける日化産業のコーポレートサイトリニューアル。「採用強化」と「問い合わせ増加」をゴールに、企業の信頼性と親しみやすさを両立させることを目指した。タグ付き食器や物流の柔軟性といった、同業他社にはない強みが伝わる構成を検討した。","コーポレートサイトという性質上、時間をかけてビジュアルを作り込むより、使い回しが利くパーツで構成し、更新時にデザインが複雑にならないことを優先した。写真は先方から支給された素材の中から見栄えの良いものを選定し、レタッチして使用した。採用ページについては、コーポレートサイトの中の一部でありながら、見る対象が求職者という別の層になるため、テイストを変えて制作した。あわせて、タグ付けした商品をカテゴリごとに検索できる導線も設計した。"
6,横浜ケーブルビジョン サービスサイトリニューアル,feature,2024年8月〜9月,情報設計（下層）、デザイン、コーディング指示,https://www.catv-yokohama.ne.jp/,"情報設計の見直しとマーケティング強化を目的とした、横浜ケーブルビジョンのサービスサイトリニューアル。ブログ活用による新規顧客獲得や、長期契約を見据えた保守運用のしやすさが狙いだった。100ページを超える大規模サイトのため、複数人のデザイナーで分担して制作。デザイナー間で策定された共通ルール・コンポーネントに沿って、自分は下層ページの情報設計を担当した。","既存ページに合わせる部分と、新しく情報を追加する部分が入り乱れる中での改修だったため、修正内容はスプレッドシートではなくFigmaのコメントで管理し、対応が完了したらその場で報告、ディレクターが確認するという流れで進めた。更新しやすいUI設計自体は先輩が主導したものだったが、サイト全体を新しいトーン＆マナーに合わせて作り替えるため、クライアント確認用のモックをデザイナー3人体制で作成する作業を担当した。

当時はFigma上でのモック確認だったため、注釈の表記（「※」か「注釈：」か、など）といった細かい体裁の指摘を都度受けることが多かった。今振り返ると、デザインMD（方針をまとめたドキュメント）を先に作り、AIでコーディングした仮ページを見てもらいながら確認を進める方が、こうした細部の指摘に時間を取られずに済んだかもしれないと感じている。"
7,CF FOR TWO（鋳物専門商社）,feature,,デザイン,https://cf-for2.co.jp/,保留（本人未回収・別の機会に相談予定。コーポレートサイト2024＋採用サイト2025として制作済み）,
8,精密機器（教育用電子黒板メーカー）製品紹介サイト制作,feature,,ビジュアル設計（UI・配色など）,,"教育用電子黒板を製造するメーカーの、製品紹介サイト制作。電子黒板を教育現場向けだけでなく、広告用途など新しい活用シーンでも使える製品として訴求することが目的で、主なターゲットは企業の情報発信担当者。ビジュアル設計を中心に担当し、既存のストック素材を選定・組み合わせながら、教育現場のイメージにとどまらない見せ方を検討した。","配色やレイアウトの作り込みよりも、写真・ビジュアルの選定に時間をかけた。教育現場向けの電子黒板という製品イメージが強かったため、広告用途など新しい使い方を伝えるには、まず見る人がその場面をイメージできる素材選びが重要だと考えた。新規撮影という選択肢がない中で、既存のストック素材から活用シーンが伝わりやすいものを選び、組み合わせを検討した。"
9,高級不動産 物件紹介LP制作,feature,,ビジュアル設計（UI・配色など）,,"個人向け高級住宅・マンションの物件紹介LP制作。ビジュアル設計を中心に担当し、物件の高級感をどう伝えるかを軸にデザインを組み立てた。事前のヒアリングでクライアントの好みを丁寧に把握したうえで制作を進めた結果、普段は一度で修正なしにOKが出ないクライアントから、初稿で了承を得ることができた。","高級感を伝えるため、タイポグラフィと余白の使い方に力を入れた。文字間・行間の余白を広めにとることで、情報を詰め込みすぎずゆったりとした印象をつくり、物件の持つ高級感を視覚的に表現した。このクライアントは明確なブランドイメージを頭の中に持っているタイプだったため、単に好みをヒアリングするだけでなく、その言語化されていないイメージまで汲み取って形にすることを意識した。結果として、普段は一度で修正なしにOKが出ないクライアントから、初回提案の段階で了承を得ることができた。"
10,現職：LP制作（若手薬剤師向け転職サービス）,feature,,ビジュアル設計・改修,,"若手薬剤師向け転職サービスのLP制作・改修。ターゲットを明確に絞り込み、「ぱっと見で若手向けとわかること」「広告感を出さないこと」を意識してデザインした。公開後、想定よりPV・CVが伸びなかったため、データをもとに改修も行った。","当初は、薬剤師の転職において給与の高さが意識されやすいことから、青を基調としたハイキャリア感のある配色を検討していた。しかし、その見せ方は他の年代向けLPでもすでに使われていたため差別化にならないと考え、若手層により刺さるよう、親しみやすさを感じられるトーン・マナーに変更した。カラフルな配色を採用しつつ、CTA周りの色は統一し、情報の見やすさを保った。

公開後、想定していたほどPV・CVが伸びなかったため、改修を実施。記事コンテンツのPV数が良かったというデータをもとに、スクロールせずに記事へ遷移できるよう、ファーストビュー内に記事への導線を配置した。"
