id,category,title,client,period,role,url,summary,point1,point2,point3
01,Webサイト / LP,愛のタクシーチケット サービスサイトリニューアル,愛のタクシーチケット,2024年12月〜2025年2月,情報設計、UIデザイン、コーディング指示,https://ai-ticke.jp/,経理担当者向けに信頼感と利便性を訴求する、BtoBチケットサービスサイトのリニューアル。,全国の加盟タクシー会社(92%以上をカバー)で使用できる法人向けチケットサービス「愛のタクシーチケット」の新規顧客獲得を目的としたコーポレートサイトのリニューアル。,ターゲットは中堅〜大企業の経理担当者。電子管理やインボイス対応の強みを打ち出しつつ、シンプルかつ信頼感のあるUIを設計。,「サービスの信頼性・全国対応の利便性を訴求」「お問い合わせ・資料請求につなげる導線強化」「SEO・インボイス制度対応の明示」が目的となった。
02,Webサイト / LP,横浜ウィークリー サービスサイト制作,横浜ウィークリーマンション,2025年1月〜5月,情報設計、UIデザイン、コーディング指示,https://www.yokohama-weekly.jp/business-service,"""ホテルのようでホテルではない"" 滞在型賃貸の魅力を伝えるブランディングLP。",横浜エリアで展開する家具付き賃貸「横浜ウィークリーマンション」のブランディング強化および集客力向上を目的に、既存のWebサイトを刷新。,ホテルライクな滞在型物件としての魅力を訴求するべく、「押しつけがましくない、品のあるデザイン」「ホテルとの違いを明確に伝えるストーリーテリング」を軸にLP型サイトを再構成。,路線図×物件情報の連動表示など、体験性に配慮した構成を社内チームと連携し検討。
03,ロゴ・シンボルマーク,柴田設備 ロゴ制作〜コーポレートサイト制作,柴田設備,2025年2月〜4月,ヒアリング設計、デザイン、ビジュアル作成、ガイドライン制作,,ヒアリングから丁寧に。ロゴから始まる、企業らしさを形にしたWebサイト。,ロゴに特化したヒアリングシートが社内で未整備だったため、初期段階でヒアリングシートを作成・共有。会社の強みや顧客層、将来展望を明確化し、デザインの方向性を設定。,ロゴガイドラインのテンプレートを作成し、ロゴの使用ルールを6ページ程度に整理。社内外への説明資料として活用可能な形式に。,コーポレートサイトでは、ロゴで定義したトーン&マナーを軸に、情緒的な要素も含めた「らしさ」の表現を意識。配色や余白感、装飾のバランスなど細部まで統一感を持たせた。
04,フリーペーパー、パンフレット,三田工業所 高校生向け採用パンフレット,三田工業所,2025年1月〜4月,デザイン、ビジュアル作成,,誰にどう伝えるかを、画面の上で探した。対話から組み上げた採用パンフレット。,高卒採用向けのパンフレットを刷新し、前半で「保護者の信頼を得られる構成」、後半で「高校生の興味を引く楽しい内容」を両立した2軸のパンフレットを目指した。,配布場所(説明会・見学会・高校校内)を意識し、紙媒体ならではの訴求力と、写真による「人となり」の伝達を重視した。,
05,Webサイト / LP,日化産業 コーポレートサイトリニューアル,日化産業,2025年1月〜3月,情報設計、UIデザイン、コーディング指示,https://e-nikka.jp/,食器×物流で差別化を図る、親しみやすさと信頼感を両立したコーポレートサイトリニューアル。,「採用強化」および「問い合わせ増加」をゴールに、企業の信頼性と親しみやすさを両立させたコーポレートサイトリニューアル。,タグ付き食器や物流の柔軟性といった、同業他社にない強みを明確に伝える構成。,将来的な拡張を考慮して、カテゴリごとのタグ設計や検索機能の導線も検討。
06,Webサイト / LP,横浜ケーブルビジョン サービスサイトリニューアル,横浜ケーブルビジョン,2024年8月〜9月,情報設計(下層)、デザイン、コーディング指示,https://www.catv-yokohama.ne.jp/,"100ページ超のサイトを、""伝わる""サイトへ。運用視点で整えた情報設計とUIの共通言語。",情報設計の見直しとマーケティング強化の狙いがあり、ブログ運用などによる新規顧客獲得や、保守運用を含む長期的な契約を視野に入れて進行されたプロジェクト。,100ページを超える大規模なWebサイトであったため、デザイナー間での共通ルール策定、コンポーネントの整備などを通じて、UIの一貫性と効率的な制作体制の構築に注力した。,
08,イラストレーション,イラスト制作,個人制作(イラスト),2024年〜,イラスト制作(使用ソフト：CLIP STUDIO PAINT / Adobe Photoshop CC),https://www.instagram.com/illustrate_sugiyama/,トイプードルのイラストを中心に、ほぼ趣味で絵を描いています。,SNSで作品を投稿するうちに「うちの子を描いてほしい」「車と一緒に描いて」など、少しずつリクエストをいただくように。,"最近は、背景や小物を組み合わせながら、柔軟に対応できる""モジュール型""のキャラクター制作にも挑戦中。",
09,Webサイト / LP,産業廃棄物処理 コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、デザイン,https://fukukou.co.jp/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
10,Webサイト / LP,リフォーム① コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、デザイン,https://kkhatsumi.co.jp/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
11,Webサイト / LP,製造業 コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、デザイン,https://www.toakikai.co.jp/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
12,Webサイト / LP,鋳物専門商社 コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、採用、デザイン,https://cf-for2.co.jp/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
13,Webサイト / LP,財団 コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、下層デザイン,https://www.recruit-foundation.org/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
14,Webサイト / LP,会議室貸出 コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、デザイン,https://kddihall.kddi.com/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
15,Webサイト / LP,リフォーム② コーポレートサイト,XXXX(要変更),XXXX(要変更),コーポレート、デザイン,https://sada-renove.com/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
16,Webサイト / LP,観光① サービスサイト,XXXX(要変更),XXXX(要変更),サービスサイト、デザイン,https://15plaza.com/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
17,Webサイト / LP,観光② サービスサイト,XXXX(要変更),XXXX(要変更),サービスサイト、デザイン,https://ujicha.or.jp/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
18,Webサイト / LP,精密機器 サービスサイト,XXXX(要変更),XXXX(要変更),サービスサイト、デザイン、コーディング,https://biz.miraitouch.com/signage/,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
19,Webサイト / LP,高級不動産① LP,XXXX(要変更),XXXX(要変更),LP、デザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
20,Webサイト / LP,高級不動産② LP,XXXX(要変更),XXXX(要変更),LP、デザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
21,デジタル広告・SNS用素材,ライター コンペ,XXXX(要変更),XXXX(要変更),コンペ、デザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
22,デジタル広告・SNS用素材,テレビ制作会社 コンペ,XXXX(要変更),XXXX(要変更),コンペ、デザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
23,デジタル広告・SNS用素材,化粧品 コンペ,XXXX(要変更),XXXX(要変更),コンペ、デザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
24,ロゴ・シンボルマーク,ファンサイト_サービスロゴ,XXXX(要変更),XXXX(要変更),ロゴデザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
25,ロゴ・シンボルマーク,漏水工事会社ロゴ,XXXX(要変更),XXXX(要変更),ロゴデザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
26,ロゴ・シンボルマーク,清掃会社ロゴ,XXXX(要変更),XXXX(要変更),ロゴデザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
27,ロゴ・シンボルマーク,社内イベントロゴ,XXXX(要変更),XXXX(要変更),ロゴデザイン,,ポートフォリオPDFから仮登録した制作実績です。説明文・期間・クライアント名は未入力のため、追記してください。,,,
